ilce_adi;mahalle_adi;konaklama_yeri
Ahırlı;ALİÇERÇİ;KÖY KONAĞI
Ahırlı;BADEMLİ;YOK
Ahırlı;BALIKLAVA;YOK
Ahırlı;BÜYÜKÖZ;YOK
Ahırlı;ÇİFTLİK;YOK
Ahırlı;ERDOĞAN;KÖY ODASI
Ahırlı;KARACAKUYU;YOK
Ahırlı;KAYACIK;MİSAFİRHANE
Ahırlı;KURUÇAY;YOK
Ahırlı;KÜÇÜKÖZ;YOK
Akören;AVDAN;YOK
Akören;KAYASU;KÖY KONAĞI
Akören;AHMEDİYE;YOK
Akören;ALAN;KÖY ODASI
Akören;BELKUYU;MİSAFİRHANE
Akören;ÇATÖREN;KÖY ODASI
Akören;DUTLU;KÖY KONAĞI
Akören;ORHANİYE;KÖY KONAĞI
Akören;SÜLEYMANİYE;YOK
Akören;TÜLCE;YOK
Akören;KARAHÜYÜK;KÖY ODASI
Akşehir;ÇAKILLAR;YOK
Akşehir;GEDİL;KÖY KONAĞI
Akşehir;KARAHÜYÜK;KÖY ODASI
Akşehir;ADSIZ;YOK
Akşehir;ALANYURT;YOK
Akşehir;ALTUNTAŞ;YOK
Akşehir;ATAKENT;KÖY KONAĞI
Akşehir;BOZLAĞAN;MİSAFİRHANE
Akşehir;CANKURTARAN;YOK
Akşehir;ÇAMLI;YOK
Akşehir;ÇİMENDERE;KÖY KONAĞI
Akşehir;DEĞİRMENKÖY;KÖY KONAĞI
Akşehir;DOĞRUGÖZ;YOK
Akşehir;ENGİLİ;YOK
Akşehir;GÖLÇAYIR;YOK
Akşehir;GÖZPINARI;KÖY KONAĞI
Akşehir;ILICAK;YOK
Akşehir;KARABULUT;YOK
Akşehir;ORTACA;YOK
Akşehir;ORTAKÖY;YOK
Akşehir;REİS;KÖY KONAĞI
Akşehir;SAVAŞ;KÖY KONAĞI
Akşehir;SORKUN;YOK
Akşehir;SÖĞÜTLÜ;YOK
Akşehir;TEKKE;KÖY KONAĞI
Akşehir;TİPİKÖY;YOK
Akşehir;ULUPINAR;YOK
Akşehir;ÜÇHÜYÜK;YOK
Akşehir;YAŞARLAR;YOK
Akşehir;YAYLABELEN;KÖY KONAĞI
Akşehir;YAZLA;KÖY ODASI
Akşehir;YENİKÖY;YOK
Akşehir;YEŞİLKÖY;YOK
Akşehir;SARAY;MİSAFİRHANE
Altınekin;OĞUZELİ;KÖY KONAĞI
Altınekin;AKCAŞAR;YOK
