cinsi;deger;br.fiyati
Yagmur rogari bozma ucreti;Adet;624,00 TL
Yagmursuyu kanali bozmaucreti;mt;388,00 TL
Yol Yipranma Bedeli;m2;9,00 TL
Bordur ve Oluklarin yipranma bedeli;m2;9,00 TL
Yollarda ve tretuvarlarda kazi yapilmasi ve moloz nakli;m3;52,00 TL
Kirma tas dolgu temini ve sikistirilmasi;m3;55,00 TL
Asfalt yama altina 20 cm kalinlikta beton yapilmasi;m2;47,00 TL
Sicak asfalt kaplama;m2;85,00 TL
Beton Kaplama;m2;58,00 TL
Betonarne parke kaplama;m2;73,00 TL
Karo kaplama;m2;110,00 TL
Kup granit kaplama;m2;242,00 TL
Andezit kaplama;m2;242,00 TL
Fonolit kaplama;m2;242,00 TL
Granit kaplama;m2;242,00 TL
Beton bordur ve yagmurlugu;mt;44,00 TL
Andezit, granit, fonolit bordur ve yamurlugu;mt;74,00 TL
Asfalt boyasi tahribat bedeli;m2;44,00 TL
Çim tahrip bedeli;m2;19,00 TL
Toprak yol kaplama;;ucretsiz
Stabilize yol kaplama;;ucretsiz
Altyapi kazi ruhsat belge ucreti;adet;66,00 TL
Kamyonet ile levha nakli (Tatlicak santiyesinden 20 Km uzakliga kadar) ucreti;;244,00 TL
Kamyonet ile levha nakli (Tatlicak santiyesinden 20 Km uzakliliktan sonra her 5 Km için) ucreti;;66,00 TL
sehir içinde yapilan çalismalarda İsaretleme(yukleme indirme,yerlestirme,toplama) (20 Parça dahil, 20 parçaya kadar) ucreti;;74,00 TL
sehir içinde yapilan çalismalarda isaretleme (yukleme indirme,yerlestirme,toplama) (20 Parçayi geçtik ten sonra her 10 parça için) ucreti;;36,00 TL
Emniyet ve bilgilendirme levhalarinin haftalik kira (20 Parça dahil, 20 parçaya kadar, 1 ile 7 gun dahil) ucreti;;176,00 TL
Emniyet ve bilgilendirme levhalarinin haftalik kira (20 Parçayi geçen her 10 parça için, 1 ile 7 gun dahil) ucreti;;88,00 TL
Yol bariyeri (polietilen) ucreti;;439,00 TL
Trafik yonlendirme levhasi ucreti (60lik);;161,00 TL
Trafik ikaz levhasi ucreti (60lik);;161,00 TL
Trafik ikaz lambasi ucreti;;133,00 TL
Trafik çalisma dubasi ucreti (60lik);;106,00 TL
Trafik çalisma dubasi ucreti (90lik);;140,00 TL
Çalisma levhasi ucreti (80-60lik);;209,00 TL
Bilgilendirme levhasi ucreti;;521,00 TL
